Lead_ID,Counselling,Application,Enrolled,Test_Score
L03473,Yes,Yes,Yes,79
L03474,Yes,No,No,
L03475,Yes,Yes,No,56
L03476,No,No,No,
L03477,No,No,No,
L03478,Yes,Yes,Yes,82
L03479,Yes,No,No,
L03480,No,No,No,
L03481,Yes,Yes,No,54
L03482,Yes,Yes,Yes,77
L03483,Yes,Yes,No,55
L03484,No,No,No,
L03485,No,No,No,
L03486,No,No,No,
L03487,Yes,Yes,Yes,80
L03488,Yes,Yes,No,60
L03489,Yes,Yes,Yes,74
L03490,Yes,No,No,
L03491,No,No,No,
L03492,Yes,Yes,Yes,75
L03493,No,No,No,
L03494,Yes,Yes,Yes,76
L03495,Yes,Yes,Yes,79
L03496,Yes,Yes,Yes,80
L03497,Yes,Yes,Yes,80
L03498,Yes,No,No,
L03499,Yes,Yes,Yes,71
L03500,Yes,Yes,No,70
L03501,Yes,No,No,
L03502,Yes,Yes,No,74
L03503,No,No,No,
L03504,No,No,No,
L03505,No,No,No,
L03506,No,No,No,
L03507,No,No,No,
L03508,No,No,No,
L03509,Yes,Yes,Yes,79
L03510,Yes,No,No,
L03511,No,No,No,
L03512,Yes,No,No,
L03513,Yes,Yes,Yes,85
L03514,Yes,No,No,
L03515,No,No,No,
L03516,No,No,No,
L03517,Yes,No,No,
L03518,Yes,Yes,No,71
L03519,No,No,No,
L03520,Yes,No,No,
L03521,Yes,Yes,Yes,72
L03522,Yes,No,No,
L03523,Yes,No,No,
L03524,Yes,Yes,No,73
L03525,Yes,No,No,
L03526,No,No,No,
L03527,Yes,Yes,Yes,75
L03528,Yes,Yes,No,52
L03529,No,No,No,
L03530,Yes,Yes,Yes,76
L03531,No,No,No,
L03532,No,No,No,
L03533,Yes,No,No,
L03534,Yes,No,No,
L03535,No,No,No,
L03536,No,No,No,
L03537,Yes,No,No,
L03538,No,No,No,
L03539,Yes,No,No,
L03540,Yes,No,No,
L03541,Yes,No,No,
L03542,Yes,No,No,
L03543,Yes,No,No,
L03544,Yes,Yes,No,58
L03545,No,No,No,
L03546,Yes,No,No,
L03547,Yes,Yes,Yes,81
L03548,No,No,No,
L03549,Yes,No,No,
L03550,Yes,Yes,Yes,84
L03551,No,No,No,
L03552,Yes,No,No,
L03553,Yes,Yes,Yes,77
L03554,No,No,No,
L03555,Yes,Yes,Yes,75
L03556,No,No,No,
L03557,Yes,Yes,No,60
L03558,Yes,No,No,
L03559,No,No,No,
L03560,Yes,Yes,No,66
L03561,No,No,No,
L03562,Yes,Yes,Yes,65
L03563,Yes,No,No,
L03564,Yes,Yes,No,72
L03565,Yes,No,No,
L03566,Yes,No,No,
L03567,No,No,No,
L03568,Yes,No,No,
L03569,No,No,No,
L03570,Yes,No,No,
L03571,Yes,No,No,
L03572,Yes,No,No,
L03573,Yes,No,No,
L03574,Yes,Yes,Yes,88
L03575,Yes,Yes,No,72
L03576,No,No,No,
L03577,Yes,Yes,No,65
L03578,Yes,No,No,
L03579,Yes,Yes,Yes,85
L03580,Yes,Yes,No,79
L03581,No,No,No,
L03582,No,No,No,
L03583,No,No,No,
L03584,Yes,Yes,Yes,75
L03585,Yes,No,No,
L03586,Yes,No,No,
L03587,Yes,No,No,
L03588,Yes,No,No,
L03589,No,No,No,
L03590,No,No,No,
L03591,No,No,No,
L03592,No,No,No,
L03593,Yes,No,No,
L03594,Yes,Yes,Yes,64
L03595,Yes,Yes,No,69
L03596,Yes,Yes,Yes,77
L03597,No,No,No,
L03598,Yes,No,No,
L03599,Yes,Yes,Yes,68
L03600,No,No,No,
L03601,Yes,Yes,Yes,77
L03602,Yes,Yes,Yes,72
L03603,Yes,Yes,No,62
L03604,Yes,Yes,No,64
L03605,No,No,No,
L03606,No,No,No,
L03607,Yes,Yes,Yes,85
L03608,Yes,Yes,No,55
L03609,Yes,No,No,
L03610,No,No,No,
L03611,Yes,No,No,
L03612,No,No,No,
L03613,No,No,No,
L03614,Yes,Yes,Yes,69
L03615,Yes,Yes,No,68
L03616,Yes,Yes,Yes,83
L03617,No,No,No,
L03618,No,No,No,
L03619,Yes,Yes,Yes,77
L03620,Yes,Yes,No,66
L03621,No,No,No,
L03622,Yes,Yes,No,56
L03623,No,No,No,
L03624,Yes,No,No,
L03625,Yes,No,No,
L03626,Yes,Yes,No,61
L03627,No,No,No,
L03628,Yes,No,No,
L03629,Yes,No,No,
L03630,Yes,Yes,No,77
L03631,No,No,No,
L03632,Yes,No,No,
L03633,No,No,No,
L03634,Yes,Yes,Yes,84
L03635,Yes,Yes,No,55
L03636,Yes,No,No,
L03637,Yes,No,No,
L03638,No,No,No,
L03639,No,No,No,
L03640,Yes,No,No,
L03641,Yes,No,No,
L03642,Yes,Yes,Yes,79
L03643,No,No,No,
L03644,Yes,Yes,No,66
L03645,Yes,No,No,
L03646,Yes,Yes,No,76
L03647,Yes,No,No,
L03648,Yes,Yes,Yes,74
L03649,Yes,Yes,Yes,63
L03650,No,No,No,
L03651,Yes,No,No,
L03652,No,No,No,
L03653,Yes,Yes,Yes,85
L03654,Yes,No,No,
L03655,Yes,Yes,Yes,74
L03656,Yes,Yes,No,59
L03657,Yes,Yes,Yes,86
L03658,No,No,No,
L03659,Yes,Yes,No,51
L03660,No,No,No,
L03661,No,No,No,
L03662,Yes,Yes,Yes,81
L03663,Yes,Yes,No,64
L03664,Yes,No,No,
L03665,No,No,No,
L03666,Yes,No,No,
L03667,Yes,Yes,Yes,76
L03668,Yes,Yes,No,71
L03669,Yes,Yes,Yes,86
L03670,Yes,Yes,Yes,66
L03671,Yes,Yes,No,57
L03672,No,No,No,
L03673,Yes,Yes,Yes,72
L03674,No,No,No,
L03675,Yes,No,No,
L03676,No,No,No,
L03677,Yes,Yes,No,65
L03678,No,No,No,
L03679,No,No,No,
L03680,Yes,Yes,No,60
L03681,No,No,No,
L03682,Yes,No,No,
L03683,Yes,No,No,
L03684,Yes,No,No,
L03685,Yes,Yes,Yes,82
L03686,Yes,Yes,Yes,76
L03687,No,No,No,
L03688,Yes,Yes,Yes,89
L03689,No,No,No,
L03690,No,No,No,
L03691,Yes,No,No,
L03692,Yes,Yes,No,63
L03693,Yes,No,No,
L03694,Yes,Yes,Yes,84
L03695,Yes,Yes,No,66
L03696,No,No,No,
L03697,Yes,No,No,
L03698,No,No,No,
L03699,Yes,Yes,No,60
L03700,Yes,No,No,
L03701,Yes,No,No,
L03702,No,No,No,
L03703,Yes,Yes,No,67
L03704,Yes,Yes,No,75
L03705,Yes,Yes,No,70
L03706,Yes,Yes,No,67
L03707,Yes,No,No,
L03708,Yes,No,No,
L03709,No,No,No,
L03710,Yes,No,No,
L03711,No,No,No,
L03712,Yes,Yes,Yes,71
L03713,Yes,Yes,Yes,68
L03714,No,No,No,
L03715,Yes,Yes,No,52
L03716,Yes,Yes,Yes,80
L03717,No,No,No,
L03718,No,No,No,
L03719,Yes,Yes,No,58
L03720,Yes,No,No,
L03721,Yes,Yes,Yes,77
L03722,Yes,Yes,No,70
L03723,Yes,No,No,
L03724,Yes,No,No,
L03725,No,No,No,
L03726,Yes,Yes,Yes,81
L03727,No,No,No,
L03728,No,No,No,
L03729,Yes,Yes,Yes,87
L03730,Yes,No,No,
L03731,No,No,No,
L03732,Yes,Yes,Yes,74
L03733,Yes,Yes,Yes,84
L03734,Yes,No,No,
L03735,Yes,Yes,Yes,81
L03736,Yes,Yes,No,60
L03737,Yes,No,No,
L03738,Yes,No,No,
L03739,No,No,No,
L03740,Yes,No,No,
L03741,Yes,No,No,
L03742,Yes,Yes,No,63
L03743,Yes,Yes,No,69
L03744,Yes,Yes,Yes,89
L03745,No,No,No,
L03746,Yes,Yes,Yes,83
L03747,Yes,Yes,No,79
L03748,Yes,Yes,No,64
L03749,No,No,No,
L03750,Yes,No,No,
L03751,No,No,No,
L03752,No,No,No,
L03753,Yes,Yes,Yes,75
L03754,Yes,Yes,No,60
L03755,No,No,No,
L03756,Yes,Yes,No,74
L03757,Yes,Yes,Yes,76
L03758,Yes,Yes,No,67
L03759,Yes,Yes,Yes,71
L03760,Yes,Yes,Yes,72
L03761,No,No,No,
L03762,Yes,No,No,
L03763,Yes,No,No,
L03764,Yes,No,No,
L03765,No,No,No,
L03766,Yes,Yes,Yes,80
L03767,No,No,No,
L03768,Yes,Yes,Yes,85
L03769,Yes,No,No,
L03770,Yes,No,No,
L03771,Yes,Yes,No,75
L03772,Yes,No,No,
L03773,Yes,No,No,
L03774,Yes,Yes,No,77
L03775,Yes,No,No,
L03776,Yes,Yes,Yes,83
L03777,Yes,Yes,Yes,78
L03778,Yes,Yes,Yes,71
L03779,Yes,No,No,
L03780,Yes,Yes,No,60
L03781,No,No,No,
L03782,Yes,No,No,
L03783,Yes,Yes,No,59
L03784,Yes,Yes,Yes,80
L03785,Yes,Yes,Yes,81
L03786,Yes,Yes,Yes,80
L03787,Yes,Yes,No,61
L03788,Yes,Yes,Yes,79
L03789,Yes,Yes,Yes,86
L03790,Yes,No,No,
L03791,Yes,Yes,No,63
L03792,Yes,Yes,Yes,83
L03793,Yes,Yes,No,59
L03794,No,No,No,
L03795,Yes,No,No,
L03796,No,No,No,
L03797,Yes,Yes,No,62
L03798,Yes,Yes,No,56
L03799,Yes,Yes,Yes,81
L03800,Yes,Yes,Yes,73
L03801,No,No,No,
L03802,Yes,Yes,Yes,67
L03803,No,No,No,
L03804,Yes,Yes,Yes,76
L03805,No,No,No,
L03806,Yes,Yes,No,65
L03807,Yes,No,No,
L03808,Yes,No,No,
L03809,Yes,Yes,Yes,88
L03810,Yes,Yes,Yes,80
L03811,No,No,No,
L03812,Yes,No,No,
L03813,Yes,Yes,Yes,76
L03814,Yes,No,No,
L03815,No,No,No,
L03816,No,No,No,
L03817,Yes,No,No,
L03818,Yes,No,No,
L03819,Yes,Yes,No,53
L03820,Yes,Yes,Yes,70
L03821,Yes,Yes,Yes,87
L03822,No,No,No,
L03823,Yes,No,No,
L03824,No,No,No,
L03825,No,No,No,
L03826,Yes,No,No,
L03827,Yes,Yes,No,62
L03828,Yes,Yes,No,61
L03829,Yes,Yes,No,65
L03830,Yes,No,No,
L03831,Yes,Yes,No,59
L03832,Yes,No,No,
L03833,No,No,No,
L03834,Yes,Yes,No,64
L03835,No,No,No,
L03836,Yes,No,No,
L03837,Yes,No,No,
L03838,Yes,Yes,No,51
L03839,Yes,Yes,No,60
L03840,No,No,No,
L03841,Yes,No,No,
L03842,Yes,Yes,Yes,83
L03843,Yes,Yes,Yes,70
L03844,Yes,Yes,No,71
L03845,Yes,Yes,No,66
L03846,Yes,Yes,No,65
L03847,No,No,No,
L03848,Yes,Yes,No,57
L03849,No,No,No,
L03850,Yes,Yes,No,63
L03851,Yes,Yes,Yes,87
L03852,Yes,Yes,No,74
L03853,Yes,Yes,Yes,78
L03854,Yes,Yes,No,58
L03855,No,No,No,
L03856,Yes,No,No,
L03857,No,No,No,
L03858,No,No,No,
L03859,Yes,Yes,Yes,68
L03860,Yes,Yes,Yes,85
L03861,No,No,No,
L03862,Yes,Yes,Yes,69
L03863,Yes,No,No,
L03864,Yes,Yes,No,68
L03865,Yes,Yes,Yes,75
L03866,Yes,No,No,
L03867,Yes,Yes,No,62
L03868,Yes,No,No,
L03869,Yes,Yes,Yes,82
L03870,No,No,No,
L03871,No,No,No,
L03872,Yes,Yes,No,69
L03873,Yes,No,No,
L03874,Yes,No,No,
L03875,Yes,No,No,
L03876,Yes,Yes,Yes,86
L03877,Yes,No,No,
L03878,Yes,No,No,
L03879,No,No,No,
L03880,No,No,No,
L03881,Yes,Yes,No,62
L03882,No,No,No,
L03883,Yes,Yes,Yes,64
L03884,Yes,No,No,
L03885,No,No,No,
L03886,Yes,No,No,
L03887,Yes,Yes,Yes,76
L03888,Yes,Yes,Yes,77
L03889,Yes,No,No,
L03890,No,No,No,
L03891,No,No,No,
L03892,Yes,No,No,
L03893,Yes,Yes,Yes,79
L03894,No,No,No,
L03895,No,No,No,
L03896,Yes,Yes,Yes,70
L03897,Yes,Yes,Yes,75
L03898,Yes,Yes,Yes,89
L03899,Yes,No,No,
L03900,Yes,Yes,Yes,72
L03901,No,No,No,
L03902,Yes,No,No,
L03903,Yes,Yes,Yes,83
L03904,Yes,No,No,
L03905,Yes,No,No,
L03906,Yes,Yes,Yes,60
L03907,Yes,Yes,No,58
L03908,Yes,Yes,Yes,68
L03909,Yes,No,No,
L03910,Yes,Yes,Yes,76
L03911,Yes,No,No,
L03912,No,No,No,
L03913,Yes,No,No,
L03914,No,No,No,
L03915,Yes,Yes,Yes,66
L03916,Yes,No,No,
L03917,Yes,No,No,
L03918,Yes,Yes,No,56
L03919,Yes,No,No,
L03920,Yes,No,No,
L03921,Yes,Yes,No,68
L03922,Yes,Yes,Yes,71
L03923,No,No,No,
L03924,Yes,No,No,
L03925,Yes,Yes,Yes,78
L03926,Yes,Yes,No,66
L03927,Yes,No,No,
L03928,No,No,No,
L03929,No,No,No,
L03930,No,No,No,
L03931,Yes,No,No,
L03932,Yes,Yes,Yes,69
L03933,Yes,No,No,
L03934,Yes,Yes,No,63
L03935,No,No,No,
L03936,Yes,Yes,No,63
L03937,Yes,Yes,Yes,69
L03938,Yes,Yes,No,69
L03939,No,No,No,
L03940,No,No,No,
L03941,Yes,No,No,
L03942,Yes,Yes,No,57
L03943,Yes,Yes,Yes,70
L03944,Yes,No,No,
L03945,Yes,Yes,No,73
L03946,Yes,No,No,
L03947,No,No,No,
L03948,Yes,No,No,
L03949,Yes,Yes,No,65
L03950,Yes,No,No,
L03951,Yes,Yes,No,56
L03952,Yes,No,No,
L03953,Yes,No,No,
L03954,Yes,No,No,
L03955,Yes,Yes,No,67
L03956,Yes,No,No,
L03957,Yes,Yes,Yes,75
L03958,Yes,No,No,
L03959,Yes,Yes,Yes,76
L03960,Yes,Yes,Yes,67
L03961,Yes,Yes,Yes,85
L03962,No,No,No,
L03963,Yes,Yes,Yes,72
L03964,Yes,Yes,Yes,87
L03965,No,No,No,
L03966,Yes,Yes,No,58
L03967,Yes,No,No,
L03968,Yes,Yes,Yes,77
L03969,No,No,No,
L03970,Yes,No,No,
L03971,Yes,No,No,
L03972,Yes,No,No,
L03973,Yes,No,No,
L03974,Yes,Yes,Yes,70
L03975,No,No,No,
L03976,Yes,Yes,No,50
L03977,Yes,No,No,
L03978,Yes,Yes,Yes,83
L03979,Yes,Yes,Yes,79
L03980,Yes,Yes,Yes,73
L03981,Yes,Yes,Yes,86
L03982,Yes,No,No,
L03983,Yes,No,No,
L03984,Yes,Yes,Yes,73
L03985,No,No,No,
L03986,No,No,No,
L03987,Yes,Yes,No,56
L03988,Yes,Yes,Yes,82
L03989,Yes,Yes,Yes,74
L03990,Yes,No,No,
L03991,No,No,No,
L03992,No,No,No,
L03993,Yes,Yes,No,68
L03994,Yes,No,No,
L03995,Yes,Yes,No,53
L03996,No,No,No,
L03997,Yes,No,No,
L03998,Yes,Yes,No,55
L03999,No,No,No,
L04000,Yes,Yes,No,69
L04001,Yes,No,No,
L04002,No,No,No,
L04003,No,No,No,
L04004,Yes,Yes,No,69
L04005,Yes,Yes,No,63
L04006,Yes,No,No,
L04007,No,No,No,
L04008,Yes,No,No,
L04009,Yes,Yes,Yes,78
L04010,No,No,No,
L04011,No,No,No,
L04012,Yes,No,No,
L04013,No,No,No,
L04014,Yes,No,No,
L04015,No,No,No,
L04016,Yes,No,No,
L04017,Yes,No,No,
L04018,No,No,No,
L04019,Yes,No,No,
L04020,Yes,No,No,
L04021,No,No,No,
L04022,No,No,No,
L04023,Yes,Yes,Yes,73
L04024,Yes,No,No,
L04025,Yes,Yes,Yes,79
L04026,No,No,No,
L04027,Yes,No,No,
L04028,Yes,No,No,
L04029,Yes,No,No,
L04030,No,No,No,
L04031,No,No,No,
L04032,No,No,No,
L04033,No,No,No,
L04034,Yes,Yes,Yes,70
L04035,No,No,No,
L04036,Yes,No,No,
L04037,Yes,Yes,No,64
L04038,No,No,No,
L04039,No,No,No,
L04040,Yes,Yes,Yes,73
L04041,Yes,No,No,
L04042,Yes,Yes,No,64
L04043,No,No,No,
L04044,Yes,No,No,
L04045,Yes,No,No,
L04046,Yes,No,No,
L04047,Yes,No,No,
L04048,Yes,No,No,
L04049,No,No,No,
L04050,Yes,No,No,
L04051,Yes,No,No,
L04052,Yes,Yes,Yes,84
L04053,Yes,Yes,No,56
L04054,Yes,Yes,Yes,70
L04055,No,No,No,
L04056,No,No,No,
L04057,Yes,Yes,No,57
L04058,Yes,Yes,No,69
L04059,Yes,Yes,No,66
L04060,Yes,Yes,No,73
L04061,Yes,No,No,
L04062,Yes,Yes,Yes,66
L04063,Yes,No,No,
L04064,Yes,No,No,
L04065,Yes,Yes,Yes,71
L04066,Yes,Yes,Yes,87
L04067,Yes,No,No,
L04068,No,No,No,
L04069,No,No,No,
L04070,Yes,No,No,
L04071,Yes,No,No,
L04072,Yes,Yes,No,61
L04073,Yes,No,No,
L04074,Yes,No,No,
L04075,Yes,Yes,No,63
L04076,Yes,No,No,
L04077,Yes,No,No,
L04078,Yes,No,No,
L04079,Yes,Yes,Yes,75
L04080,Yes,Yes,Yes,88
L04081,No,No,No,
L04082,Yes,Yes,Yes,83
L04083,Yes,Yes,Yes,71
L04084,Yes,Yes,Yes,68
L04085,Yes,No,No,
L04086,No,No,No,
L04087,Yes,No,No,
L04088,No,No,No,
L04089,Yes,No,No,
L04090,No,No,No,
L04091,Yes,Yes,Yes,67
L04092,Yes,No,No,
L04093,No,No,No,
L04094,Yes,Yes,Yes,69
L04095,Yes,Yes,Yes,81
L04096,Yes,No,No,
L04097,Yes,Yes,No,62
L04098,Yes,Yes,Yes,84
L04099,Yes,Yes,Yes,79
L04100,Yes,No,No,
L04101,Yes,No,No,
L04102,No,No,No,
L04103,Yes,No,No,
L04104,No,No,No,
L04105,No,No,No,
L04106,No,No,No,
L04107,No,No,No,
L04108,Yes,Yes,Yes,74
L04109,Yes,Yes,Yes,79
L04110,Yes,Yes,Yes,81
L04111,Yes,Yes,Yes,82
L04112,Yes,No,No,
L04113,No,No,No,
L04114,Yes,No,No,
L04115,Yes,No,No,
L04116,Yes,Yes,No,64
L04117,Yes,Yes,Yes,87
L04118,No,No,No,
L04119,Yes,Yes,No,60
L04120,Yes,No,No,
L04121,No,No,No,
L04122,Yes,No,No,
L04123,Yes,No,No,
L04124,Yes,No,No,
L04125,No,No,No,
L04126,Yes,No,No,
L04127,Yes,No,No,
L04128,No,No,No,
L04129,Yes,No,No,
L04130,Yes,Yes,No,71
L04131,Yes,Yes,No,71
L04132,No,No,No,
L04133,No,No,No,
L04134,Yes,No,No,
L04135,Yes,Yes,No,74
L04136,Yes,No,No,
L04137,Yes,Yes,Yes,66
L04138,No,No,No,
L04139,Yes,No,No,
L04140,Yes,Yes,Yes,71
L04141,Yes,Yes,No,56
L04142,No,No,No,
L04143,Yes,No,No,
L04144,No,No,No,
L04145,Yes,No,No,
L04146,No,No,No,
L04147,Yes,Yes,Yes,73
L04148,Yes,No,No,
L04149,Yes,Yes,No,52
L04150,Yes,No,No,
L04151,Yes,Yes,Yes,70
L04152,No,No,No,
L04153,Yes,Yes,Yes,76
L04154,No,No,No,
L04155,Yes,No,No,
L04156,No,No,No,
L04157,No,No,No,
L04158,Yes,Yes,Yes,71
L04159,Yes,Yes,Yes,71
L04160,Yes,No,No,
L04161,Yes,No,No,
L04162,No,No,No,
L04163,Yes,No,No,
L04164,No,No,No,
L04165,Yes,No,No,
L04166,No,No,No,
L04167,No,No,No,
L04168,Yes,Yes,Yes,80
L04169,Yes,Yes,Yes,84
L04170,No,No,No,
L04171,Yes,Yes,Yes,78
L04172,Yes,Yes,Yes,70
L04173,Yes,Yes,No,79
L04174,No,No,No,
L04175,Yes,Yes,Yes,75
L04176,Yes,No,No,
L04177,Yes,Yes,No,71
L04178,Yes,Yes,Yes,65
L04179,Yes,No,No,
L04180,Yes,Yes,Yes,89
L04181,Yes,No,No,
L04182,Yes,No,No,
L04183,Yes,Yes,Yes,76
L04184,Yes,Yes,Yes,71
L04185,Yes,No,No,
L04186,Yes,Yes,No,60
L04187,Yes,Yes,No,67
L04188,Yes,No,No,
L04189,Yes,Yes,No,67
L04190,Yes,Yes,Yes,75
L04191,Yes,No,No,
L04192,Yes,No,No,
L04193,Yes,Yes,No,61
L04194,Yes,Yes,Yes,68
L04195,Yes,Yes,No,60
L04196,Yes,No,No,
L04197,No,No,No,
L04198,Yes,No,No,
L04199,Yes,Yes,Yes,70
L04200,Yes,No,No,
L04201,Yes,Yes,Yes,75
L04202,Yes,No,No,
L04203,No,No,No,
L04204,No,No,No,
L04205,No,No,No,
L04206,No,No,No,
L04207,No,No,No,
L04208,No,No,No,
L04209,Yes,Yes,No,62
L04210,No,No,No,
L04211,Yes,Yes,Yes,88
L04212,Yes,No,No,
L04213,No,No,No,
L04214,Yes,Yes,Yes,74
L04215,Yes,Yes,No,63
L04216,Yes,No,No,
L04217,No,No,No,
L04218,Yes,Yes,No,59
L04219,Yes,No,No,
L04220,No,No,No,
L04221,Yes,Yes,Yes,78
L04222,No,No,No,
L04223,Yes,Yes,Yes,89
L04224,Yes,Yes,No,68
L04225,Yes,No,No,
L04226,Yes,No,No,
L04227,No,No,No,
L04228,Yes,Yes,Yes,61
L04229,Yes,Yes,No,77
L04230,Yes,No,No,
L04231,No,No,No,
L04232,Yes,Yes,No,71
L04233,Yes,Yes,No,59
L04234,Yes,Yes,Yes,77
L04235,Yes,Yes,No,66
L04236,Yes,Yes,No,72
L04237,Yes,Yes,Yes,73
L04238,Yes,Yes,No,69
L04239,No,No,No,
L04240,No,No,No,
L04241,Yes,Yes,Yes,83
L04242,Yes,Yes,Yes,78
L04243,Yes,No,No,
L04244,No,No,No,
L04245,No,No,No,
L04246,Yes,Yes,No,62
L04247,Yes,Yes,Yes,74
L04248,Yes,Yes,Yes,86
L04249,Yes,Yes,Yes,79
L04250,Yes,Yes,No,76
L04251,Yes,No,No,
L04252,No,No,No,
L04253,No,No,No,
L04254,Yes,Yes,Yes,71
L04255,No,No,No,
L04256,No,No,No,
L04257,Yes,No,No,
L04258,Yes,Yes,Yes,75
L04259,Yes,Yes,Yes,76
L04260,No,No,No,
L04261,Yes,No,No,
L04262,Yes,Yes,Yes,73
L04263,Yes,No,No,
L04264,No,No,No,
L04265,Yes,No,No,
L04266,Yes,Yes,No,67
L04267,No,No,No,
L04268,Yes,No,No,
L04269,Yes,No,No,
L04270,No,No,No,
L04271,Yes,No,No,
L04272,No,No,No,
L04273,Yes,No,No,
L04274,No,No,No,
L04275,No,No,No,
L04276,Yes,No,No,
L04277,Yes,No,No,
L04278,Yes,Yes,No,65
L04279,Yes,No,No,
L04280,Yes,No,No,
L04281,Yes,No,No,
L04282,Yes,Yes,No,65
L04283,Yes,Yes,No,59
L04284,Yes,No,No,
L04285,No,No,No,
L04286,No,No,No,
L04287,Yes,Yes,No,63
L04288,Yes,Yes,No,66
L04289,Yes,No,No,
L04290,Yes,No,No,
L04291,Yes,Yes,Yes,83
L04292,Yes,No,No,
L04293,Yes,Yes,Yes,83
L04294,Yes,No,No,
L04295,No,No,No,
L04296,Yes,No,No,
L04297,Yes,Yes,No,71
L04298,No,No,No,
L04299,Yes,No,No,
L04300,Yes,No,No,
L04301,Yes,Yes,Yes,83
L04302,No,No,No,
L04303,Yes,Yes,No,68
L04304,No,No,No,
L04305,Yes,No,No,
L04306,No,No,No,
L04307,Yes,No,No,
L04308,No,No,No,
L04309,Yes,No,No,
L04310,Yes,No,No,
L04311,Yes,Yes,No,67
L04312,No,No,No,
L04313,Yes,No,No,
L04314,Yes,Yes,No,66
L04315,No,No,No,
L04316,No,No,No,
L04317,Yes,Yes,Yes,72
L04318,Yes,Yes,Yes,77
L04319,No,No,No,
L04320,Yes,Yes,No,65
L04321,No,No,No,
L04322,No,No,No,
L04323,No,No,No,
L04324,Yes,No,No,
L04325,Yes,No,No,
L04326,No,No,No,
L04327,No,No,No,
L04328,Yes,No,No,
L04329,Yes,No,No,
L04330,Yes,Yes,Yes,71
L04331,Yes,No,No,
L04332,No,No,No,
L04333,Yes,No,No,
L04334,Yes,Yes,Yes,79
L04335,Yes,Yes,No,62
L04336,Yes,Yes,Yes,67
L04337,No,No,No,
L04338,No,No,No,
L04339,No,No,No,
L04340,Yes,Yes,Yes,65
L04341,No,No,No,
L04342,No,No,No,
L04343,Yes,Yes,Yes,68
L04344,Yes,Yes,No,71
L04345,Yes,Yes,Yes,67
L04346,Yes,Yes,No,57
L04347,Yes,No,No,
L04348,No,No,No,
L04349,Yes,No,No,
L04350,No,No,No,
L04351,Yes,Yes,No,57
L04352,Yes,No,No,
L04353,No,No,No,
L04354,Yes,Yes,Yes,68
L04355,Yes,Yes,Yes,76
L04356,Yes,No,No,
L04357,Yes,Yes,Yes,66
L04358,No,No,No,
L04359,Yes,Yes,No,74
L04360,Yes,Yes,No,62
L04361,No,No,No,
L04362,No,No,No,
L04363,Yes,Yes,No,79
L04364,No,No,No,
L04365,No,No,No,
L04366,Yes,No,No,
L04367,Yes,No,No,
L04368,Yes,No,No,
L04369,Yes,Yes,No,53
L04370,Yes,No,No,
L04371,No,No,No,
L04372,No,No,No,
L04373,Yes,No,No,
L04374,Yes,No,No,
L04375,Yes,Yes,Yes,74
L04376,Yes,Yes,Yes,79
L04377,No,No,No,
L04378,Yes,Yes,No,55
L04379,Yes,Yes,No,74
L04380,No,No,No,
L04381,No,No,No,
L04382,Yes,No,No,
L04383,Yes,Yes,Yes,78
L04384,No,No,No,
L04385,Yes,Yes,Yes,74
L04386,No,No,No,
L04387,Yes,Yes,No,71
L04388,Yes,Yes,Yes,76
L04389,Yes,Yes,No,63
L04390,No,No,No,
L04391,Yes,Yes,No,67
L04392,Yes,No,No,
L04393,No,No,No,
L04394,Yes,Yes,No,59
L04395,No,No,No,
L04396,Yes,Yes,No,67
L04397,Yes,Yes,No,62
L04398,Yes,Yes,No,67
L04399,Yes,Yes,No,74
L04400,Yes,Yes,No,68
L04401,No,No,No,
L04402,Yes,Yes,Yes,77
L04403,Yes,No,No,
L04404,Yes,No,No,
L04405,Yes,No,No,
L04406,No,No,No,
L04407,Yes,Yes,No,66
L04408,No,No,No,
L04409,Yes,No,No,
L04410,No,No,No,
L04411,No,No,No,
L04412,Yes,No,No,
L04413,Yes,Yes,Yes,80
L04414,No,No,No,
L04415,Yes,Yes,No,79
L04416,No,No,No,
L04417,Yes,Yes,Yes,65
L04418,Yes,No,No,
L04419,Yes,No,No,
L04420,No,No,No,
L04421,No,No,No,
L04422,Yes,Yes,Yes,70
L04423,Yes,No,No,
L04424,No,No,No,
L04425,Yes,No,No,
L04426,Yes,Yes,No,65
L04427,Yes,No,No,
L04428,No,No,No,
L04429,Yes,No,No,
L04430,No,No,No,
L04431,No,No,No,
L04432,Yes,No,No,
L04433,Yes,Yes,Yes,79
L04434,Yes,Yes,No,71
L04435,Yes,Yes,No,74
L04436,Yes,Yes,No,61
L04437,Yes,Yes,Yes,78
L04438,Yes,No,No,
L04439,Yes,Yes,No,63
L04440,Yes,Yes,No,60
L04441,Yes,No,No,
L04442,Yes,Yes,No,72
L04443,Yes,No,No,
L04444,No,No,No,
L04445,No,No,No,
L04446,Yes,Yes,Yes,75
L04447,Yes,No,No,
L04448,Yes,No,No,
L04449,Yes,Yes,No,71
L04450,Yes,Yes,Yes,78
L04451,Yes,Yes,No,64
L04452,Yes,No,No,
L04453,Yes,Yes,No,72
L04454,Yes,No,No,
L04455,Yes,Yes,Yes,69
L04456,Yes,No,No,
L04457,Yes,Yes,No,67
L04458,Yes,No,No,
L04459,Yes,Yes,No,68
L04460,No,No,No,
L04461,Yes,Yes,No,65
L04462,No,No,No,
L04463,Yes,Yes,No,52
L04464,No,No,No,
L04465,Yes,Yes,No,79
